nodenumber;    x-coordinate;    y-coordinate;    z-coordinate;skin-friction-coef
5800; 2.044934928E-01;-3.137794510E-02; 3.099999949E-02; 3.253275156E-01
5839; 2.059481442E-01;-3.124498203E-02; 3.099999949E-02; 3.339028955E-01
5887; 2.074039429E-01;-3.111302108E-02; 3.099999949E-02; 3.412263691E-01
5938; 2.088609934E-01;-3.098370507E-02; 3.099999949E-02; 3.463093936E-01
5978; 2.103193253E-01;-3.085868061E-02; 3.099999949E-02; 3.483977318E-01
6021; 2.117060125E-01;-3.074554913E-02; 3.099999949E-02; 3.475132585E-01
6023; 2.117791325E-01;-3.073958121E-02; 3.099999949E-02; 3.474664390E-01
6063; 2.132404000E-01;-3.062701784E-02; 3.099999949E-02; 3.439181149E-01
6098; 2.147029191E-01;-3.051973134E-02; 3.099999949E-02; 3.396857977E-01
6141; 2.161665857E-01;-3.041626140E-02; 3.099999949E-02; 3.360231817E-01
6179; 2.176312655E-01;-3.031513654E-02; 3.099999949E-02; 3.337001204E-01
6208; 2.190968543E-01;-3.021488339E-02; 3.099999949E-02; 3.335060477E-01
6248; 2.205632031E-01;-3.011402674E-02; 3.099999949E-02; 3.357987702E-01
6293; 2.220301926E-01;-3.001108579E-02; 3.099999949E-02; 3.410197794E-01
6330; 2.234977931E-01;-2.990534902E-02; 3.099999949E-02; 3.483786583E-01
6376; 2.249660343E-01;-2.979789674E-02; 3.099999949E-02; 3.565182984E-01
6420; 2.264349312E-01;-2.969005518E-02; 3.099999949E-02; 3.643428981E-01
6437; 2.271099687E-01;-2.964095399E-02; 3.099999949E-02; 3.673011661E-01
6462; 2.279046178E-01;-2.958315238E-02; 3.099999949E-02; 3.707768619E-01
6501; 2.293751687E-01;-2.947852388E-02; 3.099999949E-02; 3.749115169E-01
6540; 2.308466434E-01;-2.937750891E-02; 3.099999949E-02; 3.763569295E-01
6579; 2.323190272E-01;-2.928140201E-02; 3.099999949E-02; 3.750698268E-01
6619; 2.337923944E-01;-2.919040062E-02; 3.099999949E-02; 3.716765046E-01
6655; 2.352666259E-01;-2.910360694E-02; 3.099999763E-02; 3.675508499E-01
